customer_id,age,income,employment_years,credit_score,loan_amount,debt_to_income_ratio,existing_loans_count,missed_payments_last_year,risk_score,default,risk_category
37,57,1142653,9,730,431320.93739125587,0.3774732463759828,2,2,0.3047235942102615,0,Medium
38,27,2136517,4,738,273328.1232281924,0.127931639780162,6,4,0.3371126609430454,0,Medium
39,41,651637,14,761,169054.9490670235,0.2594311696036651,0,5,0.33912378422376327,0,Medium
40,29,1203282,11,569,879918.8494665541,0.7312656962096616,1,2,0.45955908867916184,0,Medium
41,59,477946,9,730,222810.43240756838,0.4661832767876881,2,5,0.4390538802926026,1,Medium
42,38,1243652,21,320,834252.7959540796,0.6708088725415788,6,0,0.6119481620407832,1,High
43,24,1380109,16,442,674845.5331426513,0.4889798799534322,1,3,0.5123960468539408,1,Medium
44,45,1194576,19,652,908500.6919613343,0.7605214669986123,0,4,0.4553212533997225,1,Medium
45,34,1164899,19,764,857824.4628374653,0.7363938528897916,1,4,0.3946957975909454,0,Medium
46,29,563503,10,767,246826.5022358913,0.4380216294072814,3,0,0.26983043964769005,0,Low
47,46,2326393,7,812,750940.6253998617,0.32279181780544464,6,5,0.3438987474571929,0,Medium
48,22,631922,14,763,329337.62040590897,0.5211681511419273,4,2,0.3581299104015456,0,Medium
49,40,1594416,1,693,912677.8024997008,0.5724213771686315,5,3,0.46204529777138864,0,Medium
50,48,2285196,16,357,1025706.9444535238,0.4488485646104421,1,4,0.5522572128762517,1,Medium
51,27,1860121,22,425,1256694.5012546396,0.675598254766566,0,0,0.43551718249481514,0,Medium
52,64,1983959,5,760,452997.28952627006,0.22832996524941798,6,0,0.22596131270356326,0,Low
53,28,743035,20,351,248239.28619740953,0.3340882814368227,0,1,0.48940361559472384,0,Medium
54,55,2335115,27,568,1355448.9094122355,0.5804634501565171,3,5,0.49857120691442025,1,Medium
55,34,2179466,12,395,594293.9681525306,0.2726787057712901,0,1,0.3945948633920202,0,Medium
56,37,1210657,28,572,493816.48334511794,0.4078913212785438,3,2,0.4163664938840115,1,Medium
57,56,1306247,28,622,1011836.5378577972,0.7746134826398049,2,0,0.3797834300523676,0,Medium
58,60,989317,7,432,532364.5177692544,0.5381131808806019,1,5,0.6108356704618345,1,High
59,24,658332,10,388,503189.52317703306,0.764340064248788,7,2,0.6896256419406666,1,High
60,22,1051240,14,304,636745.5105257231,0.6057089822740032,7,2,0.6932134085760127,1,High
61,26,421292,12,656,255836.61890863584,0.6072667387670211,0,3,0.42574852090025733,0,Medium
62,62,390570,17,642,200870.15942972858,0.514300021583144,4,1,0.41229925337867784,0,Medium
63,24,1295791,17,503,258569.93209849877,0.19954601637030878,1,2,0.38873701493351337,0,Medium
64,49,1841121,24,770,853911.9264655971,0.4638000036204014,6,3,0.3497385373474569,0,Medium
65,38,2260299,16,763,625800.7122322565,0.27686634035242974,3,3,0.25906444023244163,0,Low
66,46,1184807,21,796,946744.663172294,0.7990707880458962,1,5,0.4156166828039844,0,Medium
67,64,2388140,12,362,685093.7413433302,0.2868733580708544,7,1,0.5100868338519331,0,Medium
68,54,1719600,28,538,449641.1634914148,0.26148009042301396,1,1,0.3297914627778406,0,Medium
69,30,2286205,2,839,1227047.8520622565,0.5367182085868313,0,0,0.1562287750506996,0,Low
70,56,2197459,28,497,1005698.2477041567,0.4576641692537411,4,2,0.448861970492038,0,Medium
71,34,345708,20,329,39738.111054774105,0.1149470392781599,2,3,0.5640398757344198,1,Medium
72,51,1824616,23,508,347905.4176443671,0.1906732252947289,4,0,0.34409589250483325,0,Medium
73,35,1515442,6,362,1011906.1764942786,0.6677300592792589,5,5,0.719188072115592,1,High
74,28,1670092,28,356,732476.2453294098,0.4385843686032924,3,2,0.5415822488035067,0,Medium
75,34,1257642,11,732,254308.60676031184,0.20221065037611008,5,2,0.30498926392803594,0,Medium
76,43,353024,3,607,150271.65335176545,0.4256697939850136,6,0,0.4363636481476521,0,Medium
77,60,1751469,23,765,485514.83997807826,0.27720435815768263,4,3,0.2907825445319694,0,Low
78,41,1523759,26,406,390865.55083515873,0.25651402277864066,4,0,0.4337444599477435,0,Medium
79,36,842112,26,600,648769.5635984179,0.7704076935115731,3,2,0.4860488143540703,1,Medium
80,38,818534,25,345,289283.96884688194,0.35341716880041874,6,0,0.5488661496841597,1,Medium
81,44,2232159,10,376,295765.0257220127,0.1325017732706374,6,0,0.43365555309568593,0,Medium
82,46,348926,13,468,271893.1432036505,0.779228670846112,4,5,0.6992653175458458,1,High
83,45,1516508,17,428,995417.2017010029,0.6563877023405105,2,2,0.5332896591405408,1,Medium
84,61,2097613,6,567,583323.761455375,0.278089314594911,1,1,0.31037568058131987,0,Medium
85,49,2212878,4,718,854667.221779438,0.386224284293774,2,5,0.3713011654301834,0,Medium
86,35,2118317,15,460,1490453.5653513402,0.7036027022165899,5,3,0.5718482500537075,1,Medium
87,21,663114,10,357,232215.53591677357,0.350189463526292,1,2,0.5406172288091544,1,Medium
88,45,783791,21,683,389687.4270418759,0.4971828294046192,1,5,0.4431888219848199,0,Medium
89,27,1970930,2,809,935008.8150896527,0.4743998087652289,4,5,0.38260986132014535,0,Medium
90,29,2458714,15,729,936539.3673861173,0.38090618404015975,1,1,0.20536839109374627,0,Low
91,44,2350181,10,639,1287079.7533745228,0.5476513312696013,3,0,0.3017438054746995,0,Medium
92,21,1096266,9,325,472823.3803932928,0.43130351611132045,2,1,0.5450724008846018,1,Medium
93,64,1034769,22,671,118854.95824728964,0.114861344171781,1,2,0.2741241401161179,0,Low
94,28,331568,22,335,222173.16476562797,0.6700681753535563,7,5,0.8028260138849405,1,High
95,44,1097278,1,830,196642.1456919049,0.1792090479276035,4,5,0.3618208194556506,0,Medium
96,31,961259,15,566,408403.33601509075,0.4248629516239544,4,2,0.45064236019492077,0,Medium
97,37,910326,16,731,460561.7371813053,0.505930553649248,4,0,0.30352555354115596,0,Medium
98,28,1545749,9,318,917949.5944342577,0.5938542379353037,0,5,0.6554863421325153,1,High
99,55,1256277,17,638,486879.66727335745,0.3875575747015646,2,2,0.35629650997638795,0,Medium
100,55,1718180,11,439,1056481.289612283,0.614883940921372,4,4,0.6012712332059194,1,High
101,53,801994,7,366,153938.78589064954,0.1919450593029992,6,1,0.5425235375748856,1,Medium
102,25,374723,26,829,208875.05332926984,0.5574118837895454,3,4,0.37641793968239207,0,Medium
103,62,2338842,25,668,1586757.5330506805,0.678437249309992,4,4,0.43894096266919125,0,Medium
104,59,2176624,2,560,1572851.9685534174,0.7226107809862509,0,1,0.405335984076038,1,Medium
105,61,1833017,26,502,926950.3677997371,0.5056965471677225,7,2,0.5129768785917936,0,Medium
106,48,1092515,19,709,348541.38812746457,0.3190266386525261,7,1,0.34483200045777795,0,Medium
107,27,2016534,23,379,432243.1719943482,0.2143495581995385,2,0,0.39467391960527565,0,Medium
108,29,1693196,2,412,578888.6886959547,0.3418911270142114,1,4,0.5469967057491626,0,Medium
109,28,1335211,5,436,638206.9059277389,0.4779820612081078,2,5,0.6008806129342623,1,High
110,32,2489568,1,488,591101.010157555,0.23743115679409238,1,4,0.46255286200816914,0,Medium
111,54,947122,2,576,726215.6757568975,0.7667604339851651,6,2,0.5688784622082884,1,Medium
112,53,2061331,16,402,1500638.2495138166,0.7279948002110367,1,1,0.4984046963600071,1,Medium
113,43,2177329,8,406,267963.95929740823,0.1230700364058019,4,5,0.5383202700805831,1,Medium
114,44,615315,3,472,303579.96671469224,0.49337325876127225,5,3,0.6010360777262804,1,High
115,57,450594,21,630,294019.86352266767,0.6525161531726291,3,5,0.5498820680371231,1,Medium
116,55,1020892,22,490,277452.2821326638,0.27177437195380494,3,2,0.4498150724257694,0,Medium
117,64,1382121,1,524,645073.6892276242,0.4667273626749208,5,2,0.5269437494181011,0,Medium
118,60,485151,23,622,186392.25741995484,0.3841943176865653,4,2,0.423833256437746,0,Medium
119,42,2432942,27,807,578024.1628114787,0.2375823849526535,0,1,0.11113386192559564,0,Low
120,47,496211,8,847,263148.71639328415,0.530316168713076,1,2,0.2735207100485315,0,Low
121,55,2136082,13,433,1699433.7785991621,0.7955845227847818,5,0,0.5176086894920213,1,Medium
122,21,446192,25,336,158710.97726718042,0.3557010821959614,3,0,0.527086742233398,1,Medium
123,55,564130,10,392,274542.4989525636,0.48666530578512684,7,4,0.6953133157024799,1,High
124,57,2113065,1,374,696251.2769743754,0.3294982771350504,2,4,0.5828575749075295,1,Medium
125,34,1062857,20,482,758735.383206196,0.7138640317617478,0,1,0.4692022492960725,0,Medium
126,23,692977,1,758,488702.54987205676,0.7052218902965852,4,3,0.46901360974762873,1,Medium
127,21,1612896,26,708,363129.61762941064,0.2251413715635792,0,4,0.2945797743800559,0,Low
128,25,908546,4,506,663206.0649254452,0.7299642119666426,6,4,0.6542743790167052,1,High
129,46,677332,6,544,139568.38879391964,0.206056097739247,6,4,0.5288452122751222,1,Medium
130,34,384153,21,632,64079.78276696572,0.16680797173773398,3,5,0.4541253444774169,0,Medium
131,59,2065854,3,824,1150792.7113098307,0.5570542309910723,7,4,0.39032214074366905,0,Medium
132,47,1083930,13,593,401198.12623288867,0.3701328741089265,5,2,0.43278625793866843,1,Medium
133,29,1058272,1,572,498994.7365268566,0.4715184154233095,6,4,0.5845961797080386,1,Medium
134,35,1426018,22,678,794006.1769218285,0.5567995473562245,6,5,0.5038358467270326,0,Medium
135,35,2272690,11,325,311326.8633718172,0.13698606645508943,6,1,0.4946281414295461,0,Medium
136,46,1608064,9,843,490567.61368208716,0.30506721976369544,4,5,0.3182882865501417,0,Medium
137,62,378947,24,390,160156.04488811383,0.422634418238207,3,2,0.568953419232057,1,Medium
138,33,2253980,0,775,646015.8829680621,0.2866111868641523,1,5,0.37917602438581743,0,Medium
139,52,2493648,18,487,334846.9761365745,0.13427996899986466,6,2,0.40908751740899546,0,Medium
140,59,2075373,22,494,333457.6538713757,0.16067360126173738,6,1,0.3957273665990442,1,Medium
141,52,1268410,15,833,838702.5099441461,0.6612235081276134,6,3,0.3742907691579902,1,Medium
142,24,994934,14,384,734232.1717235274,0.7379707314490482,0,4,0.6310089075019308,1,High
143,50,1340835,13,376,276967.3180450316,0.2065633117013142,5,0,0.467887054548055,1,Medium
144,57,2178292,8,629,597904.9292306695,0.27448337010404,1,3,0.32379818305399705,0,Medium
145,43,569482,28,682,316959.2068535413,0.5565745833117488,2,4,0.44746443200493824,0,Medium
146,59,1492148,20,732,1145955.1055069552,0.7679902432647131,1,0,0.2880506567914708,0,Low
147,35,442617,22,676,137084.14880120876,0.30971279639328986,0,2,0.3193129780928872,0,Medium
148,63,1568962,14,640,1096154.5770125422,0.6986495383652008,2,5,0.49584588654749906,0,Medium
149,49,1240325,25,476,563377.0119895393,0.45421725111526356,7,2,0.5430766040692065,0,Medium
150,56,2401847,6,725,1848439.9483201788,0.7695910473565464,3,2,0.35453264115962096,0,Medium
151,33,1032426,3,723,201716.49007126148,0.1953810636997339,5,4,0.39502592598670005,0,Medium
152,52,1330120,20,473,1039582.791213085,0.7815706787455906,7,1,0.5777803314201138,0,Medium
153,27,1334780,17,705,545504.6169979896,0.4086850394806557,7,2,0.38617409072441394,0,Medium
154,42,1764123,7,381,1353182.6724937637,0.7670568732983832,2,2,0.5823724286856506,1,Medium
155,48,1732002,11,320,729316.8613195658,0.4210831519360635,0,2,0.5205426109932733,0,Medium
156,22,2056608,14,697,968780.6103826179,0.47105749388440477,6,5,0.45169176752146967,1,Medium
157,62,1049045,14,629,695876.1400922948,0.6633425068441247,4,4,0.5151525888147124,1,Medium
158,26,1417330,16,524,858675.1370670757,0.6058399505175758,2,0,0.40638311707066566,0,Medium
159,48,1172109,1,701,625580.7398036888,0.5337223242920999,3,3,0.4375354295337447,0,Medium
160,48,687405,11,737,269384.40718090517,0.3918860165126893,2,2,0.3196948561163907,0,Medium
161,64,667482,2,571,437005.0424440366,0.6547068571797241,5,3,0.5765494507433042,1,Medium
162,64,864365,6,579,660167.2683125365,0.7637598333025244,1,1,0.449203340686479,0,Medium
163,40,642059,5,522,68615.32227624001,0.10686762786011879,4,1,0.4082279621088203,1,Medium
164,50,2008175,13,808,1027164.5785981761,0.5114915675168629,0,1,0.18584144337350245,0,Low
165,31,1640389,22,641,1158420.813074105,0.706186650284844,4,2,0.43011245328678244,0,Medium
166,48,2210155,26,341,1231451.4579838791,0.5571787761418902,1,3,0.5549280641268868,1,Medium
167,45,2008086,4,475,1326502.41473186,0.6605804804833358,6,0,0.4961433054473165,1,Medium
168,59,981376,29,544,713011.6400956314,0.7265427726942898,7,4,0.6241141205994639,1,High
169,53,2015872,3,552,1261261.988360815,0.6256657110971405,4,3,0.5062774829986489,1,Medium
170,21,1256740,14,573,756447.1142938093,0.6019121809553363,6,4,0.5587665158447469,0,Medium
171,47,1493669,6,633,1158074.6215653569,0.7753221239547429,6,3,0.5234085738818577,1,Medium
172,33,534456,2,310,376566.6132626689,0.7045792605241009,1,2,0.6707930233602313,1,High
173,61,716460,12,451,480575.9399088919,0.6707645087079417,5,0,0.5385244717715584,1,Medium
174,23,1804819,9,488,289641.5986504437,0.1604823523303133,7,2,0.46026734682969905,0,Medium
175,59,2118249,22,510,566252.2676511322,0.2673209181975925,2,1,0.34801711466153995,0,Medium
176,26,601129,1,396,294390.4345025617,0.4897292170275626,0,0,0.5128097743146034,1,Medium
177,28,1321480,11,638,788516.6412654818,0.5966920734823696,1,5,0.4740073532246125,0,Medium
178,47,2267582,27,346,708053.4439260575,0.31225042531033387,6,5,0.6317597920750538,1,High
179,29,1140268,23,356,188520.1426244385,0.16532967918457636,1,3,0.5102712331529325,1,Medium
180,57,2234722,27,374,710126.3378707009,0.31776943077067343,2,2,0.4692169542060827,1,Medium
181,53,1876634,21,553,1200521.1026886795,0.6397204264063635,1,4,0.4807098941124415,1,Medium
182,62,1129297,11,469,806522.1451624873,0.7141807205389612,0,2,0.5084521428956711,1,Medium
183,64,2450963,18,445,1811341.4452598968,0.7390325538410399,3,2,0.5156155642473603,1,Medium
184,44,352635,18,332,128784.6559799976,0.36520667540090346,4,3,0.6409783137541384,1,High
185,35,320946,20,814,115789.93581295646,0.3607770024021376,5,3,0.3484171275799946,0,Medium
186,52,1283638,2,556,493809.41523630155,0.3846952296802537,5,1,0.4474463397888646,0,Medium
187,52,1701823,5,425,617875.1390754516,0.3630666285950135,1,0,0.4059473321259291,0,Medium
188,44,2361892,1,412,1337628.3063888932,0.5663376252550468,4,2,0.5646619749211392,0,Medium
189,61,1777310,23,641,623527.0619138685,0.350826283492395,5,4,0.42766809479371704,1,Medium
190,32,396748,12,347,45324.791314680166,0.11424075562997209,4,5,0.6419043050520683,1,High
191,59,1748598,26,663,712234.0770995279,0.4073172204815103,5,5,0.4556517992285772,0,Medium
192,22,929021,27,697,238671.4836713085,0.2569064463250115,3,3,0.3480126570572101,0,Medium
193,23,1258395,26,494,151215.03070673379,0.12016499644923398,7,3,0.49394635753900495,0,Medium
194,57,1215767,8,620,522281.42586038663,0.42959006607383377,1,1,0.33904779497522847,0,Medium
195,37,601364,12,437,146833.96027640562,0.24416819143880514,6,0,0.4810038535125363,1,Medium
196,22,1627878,22,654,678693.7080403736,0.41691927038781385,0,5,0.397343832891792,0,Medium
197,22,2409571,13,369,709437.9190905743,0.29442499062720057,1,1,0.42002163864492065,1,Medium
198,48,681856,18,782,356335.3608177545,0.5225962091963032,4,3,0.37292374414958196,0,Medium
199,43,2011909,10,358,1596679.4927837406,0.7936141708117717,2,4,0.648999720915601,1,High
200,57,1063361,13,688,513669.65770791384,0.48306234449816554,3,1,0.3371689379905422,0,Medium
201,52,684793,15,650,378572.1569317255,0.5528271418249391,0,2,0.37669643563771504,0,Medium
202,53,1348025,9,638,1002247.1923397942,0.7434930304258409,0,3,0.4296866969942591,1,Medium
203,21,1961127,19,735,709536.3220483691,0.3618002924075642,4,3,0.31923965380618813,0,Medium
204,39,359155,15,749,77787.19593791876,0.21658391484990816,0,1,0.2294733102427089,0,Low
205,22,1873780,27,676,558307.9249667284,0.2979580980513873,4,4,0.37608197805183585,0,Medium
206,64,762326,25,690,291175.3391826116,0.38195645850018445,7,1,0.38156258736437254,0,Medium
207,46,776377,1,780,428181.5246242548,0.5515123768790868,0,4,0.39379284992127195,0,Medium
208,52,698422,24,413,72085.26648325524,0.10321162060080473,0,3,0.46479635321107005,1,Medium
209,26,421937,15,471,294245.467442396,0.6973682503368891,7,1,0.6000279882491959,1,High
210,52,1433629,13,317,219726.26854261878,0.15326578113488132,5,0,0.4910612429802231,0,Medium
211,24,678355,20,534,495510.24648125033,0.7304586042429854,5,5,0.6462389061299824,1,High
212,31,2191369,27,609,1675529.8641087806,0.7646041648434292,4,1,0.40934399504660796,0,Medium
213,37,1648416,17,580,1307312.5012214032,0.7930719558784938,3,1,0.44290863140657893,0,Medium
214,58,1975259,25,495,1316820.4941389412,0.6666571290848142,0,0,0.3840763105722076,0,Medium
215,44,1339474,5,414,266955.652127212,0.19929886815810682,1,0,0.3946877400385478,0,Medium
216,25,2259129,6,696,1342638.6123359904,0.5943169302576304,7,2,0.4007839403372404,0,Medium
217,54,849391,12,717,205828.5920456788,0.2423249034257236,2,0,0.23538944058524464,0,Low
218,26,727479,1,583,529597.0624901376,0.7279894849062827,7,4,0.6564078278903475,1,High
219,42,2130641,14,627,685265.5962309606,0.32162414795874134,5,5,0.4491035185960772,0,Medium
220,31,1818413,16,640,597816.3371426698,0.32875718395252884,7,5,0.4825336333680459,0,Medium
221,36,1660764,12,520,1232880.2908357305,0.7423573071404068,6,2,0.5454474948346747,0,Medium
222,53,1930594,6,308,210940.07810801672,0.10926174954859319,7,4,0.6238233951045238,1,High
223,29,2080192,0,381,490459.985610837,0.23577630603849886,4,2,0.5795449838051024,1,Medium
224,26,1425832,2,593,563706.3692490931,0.39535258659441863,0,2,0.37891602519767165,0,Medium
225,36,1896436,19,674,1119855.1243564314,0.5905050971171352,5,5,0.48067215085199844,0,Medium
226,49,862834,17,833,477402.8737191303,0.5532963162313148,3,4,0.3553767834771432,1,Medium
227,23,1140597,6,714,648530.1236060173,0.5685883126170044,5,3,0.4303535227831412,0,Medium
228,40,1150122,20,398,823505.086751811,0.716015419887465,7,5,0.7395964723757613,1,High
229,56,746880,16,681,137964.63603351125,0.18472128860527964,1,3,0.3247825794934012,0,Medium
230,39,1030559,27,803,479738.8048454639,0.4655131873531393,7,1,0.3153607969511473,0,Medium
231,46,821727,11,746,499473.9235231845,0.607834382371742,4,3,0.41035580513235714,0,Medium
232,23,2434100,15,643,1327273.1313451964,0.5452829100469152,1,5,0.4139555690223701,1,Medium
233,39,2162015,23,724,894684.7964143468,0.41381988395748726,5,1,0.2820604330685537,0,Low
234,40,1973683,9,605,221013.43703155115,0.11198021011051479,2,3,0.3279292415026224,0,Medium
235,52,1832713,22,447,260825.45719263214,0.14231658595351926,3,1,0.3888143115893486,0,Medium
236,27,846312,15,753,155094.23054862695,0.18325892879768566,4,5,0.377919435629667,0,Medium
237,61,2116344,19,332,720105.9967426234,0.34025942698475453,4,1,0.5051773461761716,1,Medium
238,53,2305464,17,800,420418.45971986785,0.18235741686700285,0,5,0.23162666074713795,0,Low
239,60,1582322,14,618,630171.7924388968,0.39825761914382585,1,0,0.2849473884175097,0,Low
240,59,711373,22,492,160094.06213818476,0.22504939340990557,4,5,0.5558638237299766,1,Medium
241,38,1843912,10,479,1190090.9311290593,0.6454163382683443,1,1,0.4447943201212014,1,Medium
242,60,2005692,17,817,1424124.2186571301,0.710041331698551,2,5,0.3669075704666943,0,Medium
243,21,1308507,5,690,487750.24419623974,0.3727532555777231,0,5,0.3906952196003931,0,Medium
244,31,926776,0,820,424400.6056925165,0.4579322357209471,6,4,0.4793206019493842,0,Medium
245,48,2061987,29,656,1582466.4982532652,0.7674473690926592,7,4,0.5177978726064106,1,Medium
246,45,1282099,22,763,608811.6703372976,0.4748554287440343,7,1,0.33339858819939977,0,Medium
247,43,1850642,6,398,1474131.2004204353,0.7965512510903975,2,4,0.6357780767115859,1,High
248,51,2091825,11,447,417301.71611591754,0.19949169558443824,7,3,0.5110132179047665,0,Medium
249,50,816031,19,615,574125.5417581612,0.703558494417689,0,4,0.4826159134289924,1,Medium
250,62,347367,3,481,155635.04080064996,0.44804210187107574,0,0,0.43553192219239695,0,Medium
251,55,2111408,9,846,244711.92934380754,0.11589987787476771,1,4,0.1855548244061224,0,Low
252,27,1801604,20,602,1406252.9181322274,0.780556059007544,6,3,0.5223414240958811,0,Medium
253,36,1932748,1,303,1498910.878693223,0.7755335298203506,6,5,0.8116019807692649,1,High
254,46,968640,8,406,356740.0266443263,0.36828958812802104,5,3,0.5899974547107413,1,Medium
255,22,664716,9,374,510435.0506467569,0.7678994497601335,0,1,0.5699003408611176,0,Medium
256,21,1433397,19,339,284825.65870906337,0.19870674956698206,2,2,0.5011587166666431,1,Medium
257,32,1956447,10,418,1127064.311685595,0.5760770987844777,5,3,0.5823861111854668,1,Medium
258,25,544697,24,372,127649.90035958998,0.2343502908214842,2,1,0.4918354249175436,1,Medium
259,57,1358783,13,503,370476.35021012236,0.2726530654343794,6,1,0.4438546177622005,0,Medium
260,52,1026487,2,395,662634.5235312536,0.6455362060418238,5,4,0.7023551205157241,1,High
261,29,1376333,24,578,501192.5692228044,0.36415065919570655,2,4,0.443439149501479,0,Medium
262,61,754623,0,442,79227.30429692983,0.10498925198003484,7,1,0.5804492940323706,1,Medium
263,55,1610646,6,414,628098.6226838564,0.3899668969369162,1,5,0.5695935134133572,1,Medium
264,39,341340,3,775,88628.42733339807,0.2596485244430716,1,0,0.22528909190160135,0,Low
265,36,1269738,6,432,734328.7704471744,0.5783309394908039,3,5,0.6380195250410179,1,High
266,23,1192743,15,467,281623.4253132546,0.23611408770645023,6,1,0.46520465598284855,0,Medium
267,40,2314751,29,544,1596200.1380413026,0.689577469905533,7,4,0.5633860600417127,1,Medium
268,44,1948184,9,576,559060.8328906524,0.286965108475715,6,3,0.4395435837730651,0,Medium
269,53,1713285,14,558,642687.0936446892,0.3751197807981096,4,0,0.3561202617873276,0,Medium
270,44,1630657,15,345,503262.8253217695,0.3086258025579687,3,2,0.526969659732373,1,Medium
271,31,1264211,5,645,696259.5856201983,0.550746343466556,7,5,0.5567020408145235,0,Medium
272,28,1621939,3,536,277050.66502524045,0.1708144788584777,3,3,0.42696066044702025,0,Medium
273,56,1357975,3,352,590270.3969479287,0.43466956088877096,0,4,0.594524003086845,1,Medium
274,58,1245161,23,447,416031.16451759794,0.33411837065054073,6,3,0.553352731965606,1,Medium
275,60,1106479,22,832,795443.9626369039,0.7188965743018203,0,3,0.3053225264018661,0,Medium
276,40,925219,3,389,140067.48466336404,0.1513884655020747,3,4,0.5744897123211942,1,Medium
277,55,2097555,26,532,1427987.222347664,0.6807865454529983,4,3,0.5054653063007969,1,Medium
278,45,353010,21,350,76736.01951387626,0.21737633357093641,3,1,0.5249392822986029,1,Medium
279,55,1911029,21,693,309595.03381479764,0.16200436195096865,1,5,0.32469997213045343,0,Medium
280,45,1622248,16,513,391977.29636103346,0.24162600068610562,2,0,0.33234360710437155,0,Medium
281,49,1207272,12,750,207478.24962955364,0.17185708740826727,3,5,0.3502663516674676,0,Medium
282,38,480680,1,638,223366.59495525842,0.46468876374148793,0,4,0.4786196436573885,1,Medium
283,38,1910000,19,650,1512243.3920484,0.791750467041047,4,0,0.37136567782379387,0,Medium
284,22,1696728,5,584,210443.72542302072,0.1240291463469812,0,1,0.2728761032087902,0,Low
285,55,836364,21,544,353606.2055251554,0.422789844523623,6,4,0.5560904218917375,1,Medium
286,36,2258919,0,849,836363.0212306015,0.3702492303755033,1,1,0.2286151639971786,0,Low
287,61,2028719,7,525,685148.0895724802,0.3377244899724803,6,2,0.4514286055269636,0,Medium
288,56,1203057,17,740,399781.28770398954,0.33230452730335264,5,2,0.3253227524447975,0,Medium
289,53,2050652,28,773,1489816.9895810976,0.7265089296385235,0,2,0.27572398178977364,0,Low
290,24,1923162,20,743,217862.14769096632,0.11328330514588283,6,0,0.20429728059627617,0,Low
291,53,369835,3,711,237597.34148871343,0.6424414711660968,5,5,0.5485780111163363,1,Medium
292,34,963478,4,545,266934.68727471377,0.2770532251641592,0,5,0.4809624341237409,1,Medium
293,41,1602970,4,799,590384.8434826736,0.3683068575723024,4,2,0.2791399741118631,0,Low
